Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
1,Max Aarons,ENG,DF,Norwich City,Premier League,22,2000,34,0.25,0,0,0,0.41,0.06,0.06
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,34,0.15,0.03,0,0.06,0.54,0.18,0
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22,2000,31,0.44,0.11,0.07,0.04,0.66,0.18,0
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,34,0.27,0,0,0,0.91,0.21,0.06
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22,2000,1,0,0,0,0,0,0,0
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23,1998,24,0.37,0,0,0,2.22,0.49,0.12
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,7,0,0,0,0,1.82,0,0
8,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,37,0.26,0,0,0.5,2.71,0.93,0.12
9,Luis Abram,PER,DF,Granada,La Liga,26,1996,8,0.32,0,0,0,0.32,0,0
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34,1988,30,0.07,0.04,0,0.14,0.57,0.25,0
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23,1998,13,0,0,0,0,3.79,0.69,0.34
12,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,1,0,0,0,0,0,0,0
13,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,31,0.4,0,0,0.04,0.68,0.2,0.12
14,Che Adams,SCO,FW,Southampton,Premier League,25,1996,30,0,0,0,0.31,2.16,1.06,0.13
15,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23,1999,24,0.33,0,0,0,0.13,0,0.07
16,Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,29,1993,13,0,0,0,0.27,0.81,0.54,0
17,Martin Adeline,FRA,MFFW,Reims,Ligue 1,18,2003,8,0.26,0,0,0,1.03,0.26,0
18,Amine Adli,FRA,FWMF,Leverkusen,Bundesliga,22,2000,25,0.21,0,0,0.21,2.71,1.36,0.14
19,Yacine Adli,FRA,MFFW,Bordeaux,Ligue 1,21,2000,36,0.2,0,0,0.04,1.31,0.6,0.28
20,Michel Aebischer,SUI,MF,Bologna,Serie A,25,1997,12,0.2,0,0,0,0.41,0.41,0
21,Felix Afena-Gyan,GHA,FWMF,Roma,Serie A,19,2003,17,0.68,0.14,0.14,0.27,2.43,0.95,0
22,Martin Agirregabiria,ESP,DF,Alavés,La Liga,26,1996,24,0.22,0,0,0,0.28,0,0.06
23,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,4,0,0,0,0,0,0,0
24,Lucien Agoume,FRA,MF,Brest,Ligue 1,20,2002,27,0.29,0,0,0,0.77,0.05,0
25,Kevin Agudelo,COL,MFFW,Spezia,Serie A,23,1998,23,0.15,0.07,0,0.22,1.61,0.8,0.07
26,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,26,1996,31,0.1,0.03,0,0.07,0.82,0.23,0.07
27,Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,4,0,0,0,0.59,3.53,0.59,0
28,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,28,0.17,0,0,0,0.42,0.08,0.08
29,Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,22,2000,1,0,0,0,0,0,0,0
30,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,3,0,0,0,0,0,0,0
31,Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,23,1999,15,0.4,0,0,0,0.47,0.27,0.07
32,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,25,0.18,0,0,0.09,1.52,0.18,0.09
33,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,32,0.03,0,0,0,0.2,0.03,0
34,Ola Aina,NGA,DF,Torino,Serie A,25,1996,21,0.25,0,0,0,0.63,0.25,0
35,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,23,0.2,0,0,0.05,0.64,0.2,0.1
36,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,24,0.23,0,0,0.05,0.32,0.05,0.14
37,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,28,1994,36,0.16,0.03,0,0.39,1.94,0.79,0.26
38,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,26,0.12,0,0,0.04,0.56,0.12,0
39,Carlos Akapo,EQG,DF,Cádiz,La Liga,29,1993,25,0.2,0,0,0,0.49,0.05,0
40,Marley Aké,FRA,MFFW,Juventus,Serie A,21,2001,4,1.11,0,0,0,0,0,0
41,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,14,0,0,0,0.19,0.49,0.19,0
42,Ilias Akhomach,ESP,FW,Barcelona,La Liga,18,2004,2,0,0,0,0,2.86,1.43,0
43,Maghnes Akliouche,FRA,MFFW,Monaco,Ligue 1,20,2002,7,1.67,0,0,0,3.33,1.67,0
44,Paul Akouokou,CIV,MF,Betis,La Liga,24,1997,8,0.35,0.18,0,0,0.35,0,0
45,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,29,1992,10,0.29,0,0,0,0.86,0,0
46,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,26,0.29,0,0,0.12,0.71,0.24,0.12
47,David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,30,0.07,0,0,0.07,0.71,0.2,0.1
48,Sofiane Alakouch,MAR,DFMF,Metz,Ligue 1,23,1998,4,0.56,0,0,0,0.56,0,0
49,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,23,0.32,0,0,0,0.95,0.13,0.06
50,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,29,1992,27,0.27,0,0,0.82,3.15,1.78,0
51,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,30,0.37,0,0,0.07,1.05,0.2,0.34
52,Josué Albert,GUF,DF,Clermont Foot,Ligue 1,30,1992,2,0,0,0,0,5,0,0
53,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,34,0.19,0,0,0.19,1.8,0.61,0.34
54,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,28,0.29,0,0,0,0.22,0.04,0
55,Marc Albrighton,ENG,FWDF,Leicester City,Premier League,32,1989,17,0.24,0,0,0.08,0.32,0.08,0.16
56,Paco Alcácer,ESP,FW,Villarreal,La Liga,28,1993,18,0.11,0,0,0.11,2.18,0.92,0.34
57,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,25,0.12,0,0,0.06,1.47,0.35,0.24
58,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,14,0.57,0,0,0.16,1.87,0.49,0
59,Omar Alderete,PAR,DF,Valencia,La Liga,25,1996,29,0.56,0,0,0.07,0.64,0.19,0
