primaryTitle,year
Breaking Bad,2013
Band of Brothers,2001
Chernobyl,2019
Planet Earth,2006
Planet Earth II,2016
Game of Thrones,2019
The Sopranos,2007
Avatar: The Last Airbender,2008
The Wire,2008
Sherlock,2017
Rick and Morty,NA
Attack on Titan,2023
Aspirants,NA
Scam 1992: The Harshad Mehta Story,2020
Cosmos: A Spacetime Odyssey,2014
The Office,2013
Better Call Saul,2022
Arcane,2024
Fullmetal Alchemist: Brotherhood,2010
Blue Planet II,2017
Friends,2004
True Detective,NA
Death Note,2007
Seinfeld,1998
One Piece,NA
The Last Dance,2020
Hunter x Hunter,2014
Batman: The Animated Series,1995
Leyla and Mecnun,2023
TVF Pitchers,2022
Our Planet,2023
Cosmos,1980
Bluey,NA
Fargo,2024
Ted Lasso,NA
Succession,2023
Firefly,2003
Gravity Falls,2016
Cowboy Bebop,1999
The Twilight Zone,1964
Kota Factory,2021
Clarkson's Farm,NA
The Chosen,NA
Life,2009
Peaky Blinders,2022
Black Mirror,NA
The Last of Us,NA
House,2012
Narcos,2017
Dark,2020
The Simpsons,NA
South Park,NA
Arrested Development,2019
Severance,NA
It's Always Sunny in Philadelphia,NA
BoJack Horseman,2020
Dragon Ball Z,2003
Freaks and Geeks,2000
Curb Your Enthusiasm,2024
When They See Us,2019
Dhindora,NA
Fawlty Towers,1979
Last Week Tonight with John Oliver,NA
Pride and Prejudice,1995
Vinland Saga,2023
The West Wing,2006
Only Fools and Horses,2003
Bleach: Thousand-Year Blood War,NA
Persona,NA
The Blue Planet,2001
NCR Days,NA
The World at War,1974
Stranger Things,2025
Dexter,2013
The Boys,NA
The Mandalorian,NA
House of Cards,2018
Daredevil,2018
Mindhunter,2019
Parks and Recreation,2015
Mad Men,2015
Yellowstone,2024
The Crown,2023
Invincible,NA
Downton Abbey,2015
Twin Peaks,1991
Fleabag,2019
One Punch Man,NA
Naruto: Shippuden,2017
Rome,2007
Battlestar Galactica,2009
This Is Us,2022
Six Feet Under,2005
The Marvelous Mrs. Maisel,2023
Star Trek: The Next Generation,1994
1883,2022
Top Gear,2022
Oz,2003
The Family Man,NA
Dragon Ball Z,1996
The Shield,2008
The Grand Tour,2024
Code Geass,2008
Monty Python's Flying Circus,1974
Steins;Gate,2015
Chappelle's Show,2006
Blackadder Goes Forth,1989
Nathan for You,2017
Frieren: Beyond Journey's End,NA
Frozen Planet,2012
The Vietnam War,2017
Gullak,NA
Halka,2019
Vikings,2020
The Queen's Gambit,2020
Modern Family,2020
Mr. Robot,2019
Ozark,2022
Sons of Anarchy,2014
Shameless,2021
The Haunting of Hill House,2018
Community,2015
Hannibal,2015
Futurama,NA
The Bear,NA
Spartacus,2013
The X-Files,2018
Doctor Who,2022
Shōgun,2026
Boardwalk Empire,2014
The Penguin,2024
Demon Slayer: Kimetsu no Yaiba,NA
Archer,2023
Mr. Bean,1995
The Newsroom,2014
Justified,2015
Deadwood,2006
Adventure Time,2018
What We Do in the Shadows,2024
Atlanta,2022
Blue Eye Samurai,NA
Dopesick,2021
Over the Garden Wall,2014
Friday Night Lights,2011
Line of Duty,2026
Peep Show,2015
Berserk,1998
Monster,2005
Crash Landing on You,2020
X-Men '97,NA
Das Boot,1985
The Beatles: Get Back,2021
Dekalog,1990
Human Planet,2011
As If,NA
Undercover,2016
Ramayan,1988
Taskmaster,NA
Çilgin Dersane at the University,2014
Westworld,2022
Suits,2019
Supernatural,2020
Brooklyn Nine-Nine,2021
The Punisher,2019
Scrubs,2010
Fringe,2013
Big Little Lies,2026
Cobra Kai,2025
Person of Interest,2016
The Expanse,2022
The Last Kingdom,2022
Silicon Valley,2019
The IT Crowd,2013
Schitt's Creek,2020
Jujutsu Kaisen,NA
Spartacus: Gods of the Arena,2011
The Office,2003
Making a Murderer,2018
Neon Genesis Evangelion,1996
Bosch,2021
Heartstopper,NA
Louie,2015
Battlestar Galactica,2003
Twin Peaks,2017
Fullmetal Alchemist,2004
The Bridge,2018
Anne with an E,2019
The Jinx: The Life and Deaths of Robert Durst,2024
Poirot,2013
Blackadder II,1986
Blackadder the Third,1987
Impractical Jokers,NA
Young Justice,2022
Gomorrah,2021
Father Ted,1998
Haikyu!!,2020
Mr Inbetween,2021
Behzat Ç: An Ankara Detective Story,2019
Flames,2023
Yeh Meri Family,NA
